Rating Agency,Company,Rating,Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Egan-Jones Ratings Company,"NASDAQ, INC",BBB,2015-10-28,1120193,1,6200.0,Money,NDAQ,1.1296,0.2951,0.4259,59.0159,21.4264,21.4264,25.2258,18.6858,11.99,0.2553,6.2096,-16.0804,3.0532,4.3771,-0.0555,-0.2229
Egan-Jones Ratings Company,ELI LILLY AND COMPANY,A+,2015-10-28,59478,1,2834.0,Hlth,LLY,1.4697,0.1923,0.2955,78.7649,23.2353,23.2353,29.4898,25.4804,20.269,0.6557,26.5568,35.1987,13.2907,21.4496,0.539,0.562
Egan-Jones Ratings Company,CHEMED CORPORATION,A+,2015-10-28,19584,1,8082.0,Hlth,CHE,0.9944,0.2384,0.3268,28.9511,11.565,11.565,14.1256,11.176,6.8199,1.6935,22.0041,-139.1132,11.5494,16.7594,-1.935,-2.7996
Egan-Jones Ratings Company,DANA INCORPORATED,BBB+,2015-10-28,26780,1,3714.0,Durbl,DAN,2.3426,0.5737,1.4008,14.2814,7.118,7.118,10.4126,3.9293,4.7151,1.349,29.0678,37.2421,6.9929,12.3916,-1.0018,-0.9297
Egan-Jones Ratings Company,"TRINITY INDUSTRIES, INC",BB+,2015-10-28,99780,0,3743.0,Manuf,TRN,2.4828,0.5085,1.0345,25.1248,20.2755,20.2755,24.2399,17.2464,10.9919,0.7096,20.8777,27.0292,8.1573,10.262,0.8969,2.8355
Egan-Jones Ratings Company,STRYKER CORPORATION,A+,2015-10-28,310764,1,3842.0,Hlth,SYK,1.9466,0.2741,0.4622,65.6951,12.8786,12.8786,16.7855,11.9897,5.323,0.5599,5.9919,21.5391,2.9805,4.3493,-0.2807,-0.379
Egan-Jones Ratings Company,"AMAZON.COM, INC",A+,2015-10-28,1018724,1,5961.0,Shops,AMZN,1.1153,0.4349,0.7695,29.4826,0.2,0.2,5.5333,-0.1247,-0.2708,1.6327,-2.2437,-3.2471,-0.4422,-1.268,3.0353,-0.1491
Egan-Jones Ratings Company,KIMBERLY-CLARK CORPORATION,A-,2015-10-28,55785,1,2621.0,Manuf,KMB,0.8929,0.8493,6.963,33.8826,12.7814,12.7814,17.1517,11.4328,7.7368,1.2704,154.6547,-245.628,9.9511,23.3067,-0.3108,-0.9363
Egan-Jones Ratings Company,TEXAS INSTRUMENTS INCORPORATED,AA-,2015-10-28,97476,1,3674.0,BusEq,TXN,2.7919,0.2589,0.4457,56.9337,30.2568,30.2568,39.6857,29.6972,21.2879,0.7509,27.1511,68.3713,16.2388,20.1213,0.7133,0.8396
Egan-Jones Ratings Company,MICROSOFT CORPORATION,AA,2015-10-28,789019,1,7372.0,BusEq,MSFT,2.4734,0.2577,0.4407,64.6955,19.4069,19.4069,33.785,19.7767,13.0295,0.5364,15.2255,20.911,6.9885,11.3012,-0.2753,-0.3425
