Company,Name,Score
hewlett packard enterprise,hewlett packard enterprise company,87
eqt corporation,rtx corporation,87
zebra technologies corp.,zebra technologies corporation,87
lyondellbasell industries n.v.,lyondellbasell industries n.v. class a,87
"delta air lines, inc. (old)","delta air lines, inc.",87
"universal health services, inc.","universal health services, inc. class b",87
"wynn resorts, limited",wynn resorts ltd,86
boston scientific corporation,boston scientific corp.,86
"mccormick & company, incorporated","mccormick & company, incorporated non-vtg cs",86
ciena corp.,cintas corp,86
costco wholesale corporation,costco wholesale corp,86
unisys corporation,sysco corporation,86
"ttm technologies, inc.","tyler technologies, inc.",86
"mondelez international, inc.","mondelez international, inc. class a",86
northrop grumman corporation,northrop grumman corp.,86
cameco corporation,masco corporation,86
norfolk southern corporation,norfolk southern corp.,86
"williams companies, inc. (the)",williams companies inc.,86
norfolk southern corporation,norfolk southern corp.,86
eog resources canada inc.,"eog resources, inc.",86
"bio-rad laboratories, inc.","bio-rad laboratories, inc.class a",86
"mondelez international, inc","mondelez international, inc. class a",86
northrop grumman corporation,northrop grumman corp.,86
boston scientific corporation,boston scientific corp.,86
trimas corporation,masco corporation,86
brinker international inc.,baxter international inc.,86
delta air lines,"delta air lines, inc.",86
unisys corporation,sysco corporation,86
"wynn resorts, limited",wynn resorts ltd,86
"casa systems, inc.","cisco systems, inc.",86
seagate technology hdd holdings,seagate technology holdings plcs,86
costco wholesale corporation,costco wholesale corp,86
"bio-rad laboratories, inc","bio-rad laboratories, inc.class a",86
universal health services inc.,"universal health services, inc. class b",85
kohl's corporation,kla corporation,85
oracle corporation,aes corporation,85
ciena corporation,idex corporation,85
colfax corporation,kla corporation,85
ciena corporation,idex corporation,85
"enpro industries, inc.","ppg industries, inc.",85
cintas corporation,csx corporation,85
oracle corporation,aes corporation,85
range resources corp.,targa resources corp.,85
"united parcel service, inc.","united parcel service, inc. class b",85
universal corporation,veralto corporation,85
altera corporation,kla corporation,85
interpublic group of cos. inc.,"the interpublic group of companies, inc.",85
"united parcel service, inc","united parcel service, inc. class b",85
avista corporation,apa corporation,85
"las vegas sands, llc",las vegas sands corp.,85
halliburton co.,halliburton company,85
sony corporation,sysco corporation,85
flowserve corporation,fortive corporation,85
lennar corporation,kla corporation,85
"enpro industries, inc.","ppg industries, inc.",85
kohl's corporation,kla corporation,85
chemed corporation,cdw corporation,85
mckesson canada corporation,mckesson corporation,85
intel corporation,idex corporation,85
lockheed martin corporation,lockheed martin corp.,85
sony corporation,sysco corporation,85
intel corporation,idex corporation,85
newmarket corporation,newmont corporation,85
lockheed martin corporation,lockheed martin corp.,85
flowserve corporation,fortive corporation,85
avery dennison corporation,avery dennison corp.,84
sherwin-williams company (the),the sherwin-williams company,84
ugi corporation,pg&e corporation,84
avery dennison corporation,avery dennison corp.,84
air products and chemicals,"air products & chemicals, inc.",84
"amkor technology, inc.","micron technology, inc.",84
peabody energy corporation,devon energy corporation,84
v.f. corporation,fmc corporation,84
allegheny technologies inc.,agilent technologies inc.,84
kimberly-clark corporation,kimberly-clark corp.,84
"post holdings, inc.","leidos holdings, inc.",84
portland general electric company,general electric company,84
"amkor technology, inc","micron technology, inc.",84
bio-rad laboratories inc.,"bio-rad laboratories, inc.class a",84
allegheny technologies incorporated,teledyne technologies incorporated,84
"fmc technologies, inc.","uber technologies, inc.",84
"emcor group, inc.","cbre group, inc.",84
union pacific corporation,union pacific corp.,84
alliant energy corp,alliant energy corporation,84
peabody energy corporation,devon energy corporation,84
fmc technologies inc.,akamai technologies inc,84
"viasat, inc.",visa inc.,84
hunt (j.b.) transport services inc.,jb hunt transport services inc,84
"pdc energy, inc.","xcel energy, inc.",84
"general mills canada, inc.","general mills, inc.",84
v.f. corporation,fmc corporation,84
dte energy co.,dte energy company,84
thermo fisher scientific (finance i) b.v.,"thermo fisher scientific, inc.",84
union pacific corporation,union pacific corp.,84
"lsb industries, inc.","ppg industries, inc.",84
"brinker international, inc.",baxter international inc.,84
alliant energy corp.,alliant energy corporation,84
ferro corporation,veralto corporation,83
comcast corporation,masco corporation,83
devon energy corp.,devon energy corporation,83
caci international inc.,baxter international inc.,83
"pnm resources, inc.","eog resources, inc.",83
"pnm resources, inc.","eog resources, inc.",83
murphy oil corporation,marathon oil corporation,83
hormel foods corp.,hormel foods corporation,83
atmos energy corp.,atmos energy corporation,83
cvr energy inc.,"nrg energy, inc.",83
tal international group inc.,"american international group, inc.",83
ferro corporation,veralto corporation,83
mercer international inc.,baxter international inc.,83
murphy oil corporation,marathon oil corporation,83
shaw communications inc.,sba communications corp,83
united parcel service inc.,"united parcel service, inc. class b",83
quest diagnostics incorporated,quest diagnostics inc.,82
cabot corporation,sysco corporation,82
chesapeake energy corporation,cms energy corporation,82
chesapeake energy corporation,cms energy corporation,82
"moneygram international, inc.","honeywell international, inc.",82
cabot corporation,sysco corporation,82
black hills corporation,ball corporation,82
sanmina corporation,carnival corporation,82
texas instruments inc.,texas instruments incorporated,82
methanex corporation,centene corporation,82
"information resources, inc.","franklin resources, inc.",82
exxon mobil corp.,exxon mobil corporation,82
"allete, inc.","ametek, inc.",82
nvidia corporation,idex corporation,82
altera corp.,waters corp,82
duke energy corp.,duke energy corporation,82
sunpower corporation,nucor corporation,81
minerals technologies inc.,"uber technologies, inc.",81
"caci international, inc.",baxter international inc.,81
amkor technology inc.,"micron technology, inc.",81
open text corporation,pg&e corporation,81
dana incorporated,snap-on incorporated,81
lsb industries inc.,"ppg industries, inc.",81
gulfport energy corporation,valero energy corporation,81
endo international plc,edison international,81
seagate technology plc,seagate technology holdings plcs,81
"forum energy technologies, inc.","uber technologies, inc.",81
silgan holdings inc.,iqvia holdings inc.,81
service corporation,ameren corporation,81
magna international inc.,baxter international inc.,81
post holdings inc.,"leidos holdings, inc.",81
dana incorporated,snap-on incorporated,81
silgan holdings inc,iqvia holdings inc.,81
endo international plc,edison international,81
titan international inc.,baxter international inc.,81
energizer holdings inc,generac holdings inc,81
kirby corporation,rtx corporation,81
"wesco international, inc.","honeywell international, inc.",81
sherwin-williams co.,the sherwin-williams company,81
"cooper companies, inc. (the)","the cooper companies, inc.",81
pnm resources inc,"eog resources, inc.",80
"carter's, inc.","gartner, inc.",80
"expedia, inc.","expedia group, inc.",80
"neogenomics, inc.",incyte genomics inc,80
"nn, inc.","nvr, inc.",80
rite aid corporation,rtx corporation,80
microsoft corporation,microsoft corp,80
"teva pharmaceuticals usa, inc.",vertex pharmaceuticals inc,80
mccormick & co. inc.,"merck & co., inc.",80
"mastec, inc","msci, inc.",80
oshkosh corporation,pool corporation,80
transalta corporation,veralto corporation,80
"lee enterprises, inc.","axon enterprise, inc.",80
transalta corporation,veralto corporation,80
"suncoke energy, inc.","xcel energy, inc.",80
"sonic automotive, inc.","o'reilly automotive, inc.",80
"expedia, inc.","expedia group, inc.",80
"triumph group, inc.","altria group, inc.",80
fortis inc.,zoetis inc.,80
"sba telecommunications, inc.",sba communications corp,80
"equinix, inc.","equinix, inc. reit",80
albemarle corp.,albemarle corporation,80
"baker hughes, a ge company llc",baker hughes company,80
rite aid corporation,rtx corporation,80
microsoft corporation,microsoft corp,80
california resources corp.,targa resources corp.,80
starbucks corporation,stryker corporation,80
starbucks corporation,stryker corporation,80
louisiana-pacific corp.,union pacific corp.,80
"mastec, inc.","msci, inc.",80
barrick gold corporation,carrier global corporation,80
"valmont industries, inc.","mohawk industries, inc.",80
"equinix, inc.","equinix, inc. reit",80
mastec inc.,wabtec inc.,80
consol energy inc.,"xcel energy, inc.",79
entergy corp,firstenergy corp.,79
lennox international inc.,baxter international inc.,79
griffon corporation,chevron corporation,79
oceaneering international inc.,baxter international inc.,79
"burlington resources, inc.","franklin resources, inc.",79
iron mountain incorporated,iron mountain inc.,79
general cable corporation,general dynamics corporation,79
cdk global inc.,s&p global inc.,79
"oil states international, inc.",baxter international inc.,79
general cable corporation,general dynamics corporation,79
amphenol corp.,amphenol corporation,79
"lions gate entertainment, inc.",live nation entertainment inc.,79
lennox international inc.,baxter international inc.,79
consol energy inc.,"xcel energy, inc.",79
"titan international, inc.",baxter international inc.,79
"energizer holdings, inc.",generac holdings inc,79
"oceaneering international, inc.","honeywell international, inc.",79
mckesson corp.,mckesson corporation,79
southwest gas corporation,hess corporation,78
baker hughes inc.,baker hughes company,78
"ppg industries securities, inc.","ppg industries, inc.",78
alere inc.,apple inc.,78
gulfport energy corp.,firstenergy corp.,78
"medpace holdings, inc.","paypal holdings, inc.",78
otter tail corporation,veralto corporation,78
coty inc.,copart inc,78
"universal health services,","universal health services, inc. class b",78
conocophillips company,conocophillips,78
itt corp.,intel corp,78
"avnet, inc.",at&t inc.,78
"oxford industries, inc.","ppg industries, inc.",78
"kronos worldwide, inc.","c.h. robinson worldwide, inc.",78
wendy's international inc.,baxter international inc.,78
"baker hughes, a ge company, llc",baker hughes company,78
viacom inc.,visa inc.,78
otter tail corporation,veralto corporation,78
tempur sealy international inc.,baxter international inc.,78
"hovnanian enterprises, inc","axon enterprise, inc.",78
american electric power,"american electric power company, inc.",78
"comstock resources, inc.","eog resources, inc.",78
entravision communications corp.,sba communications corp,78
pinnacle west capital,pinnacle west capital corporation,78
"jazz pharmaceuticals, inc.",vertex pharmaceuticals inc,78
"nabors industries, inc.","ppg industries, inc.",78
"idacorp, inc.","corpay, inc.",78
"avnet, inc",at&t inc.,78
"idacorp, inc","corpay, inc.",78
huntsman corporation,hess corporation,78
"hovnanian enterprises, inc.","axon enterprise, inc.",78
"h&e equipment services, inc.","quanta services, inc.",77
"corecivic, inc.","corteva, inc.",77
"crown holdings, inc","leidos holdings, inc.",77
"xpo logistics, inc.","prologis, inc.",77
meritage homes corporation,american tower corporation,77
"patterson companies, inc","the travelers companies, inc.",77
amerisourcebergen corporation,ameren corporation,77
sonic automotive inc.,"o'reilly automotive, inc.",77
"group 1 automotive, inc.","o'reilly automotive, inc.",77
hershey company (the),the hershey company,77
occidental petroleum,occidental petroleum corporation,77
"corecivic, inc.","corteva, inc.",77
valmont industries inc.,"mohawk industries, inc.",77
"lee enterprises, incorporated",public service enterprise group incorporated,77
amerisourcebergen corporation,ameren corporation,77
carpenter technology corporation,zebra technologies corporation,77
"crown holdings, inc.","leidos holdings, inc.",77
stryker corp.,stryker corporation,77
tenet healthcare corporation,the allstate corporation,77
kronos incorporated,snap-on incorporated,77
southwest gas corp.,southwest airlines co.,77
danaher corp.,danaher corporation,77
scholastic corporation,sysco corporation,77
tenet healthcare corporation,the allstate corporation,77
allete inc.,"ametek, inc.",76
target corp.,target corporation,76
triumph group inc.,"altria group, inc.",76
dell international llc,"honeywell international, inc.",76
ameren corp.,ameren corporation,76
vector group ltd.,"everest group, ltd.",76
"donnelley financial solutions, inc.",broadridge financial solutions inc,76
sony corp.,nordson corp,76
southwestern energy company,dte energy company,76
southern power company,the southern company,76
ingredion incorporated,snap-on incorporated,76
vector ltd.,invesco ltd,76
baker hughes incorporated,baker hughes company,76
pra international,edison international,76
"carriage services, inc.","quanta services, inc.",76
ingredion incorporated,snap-on incorporated,76
cpi card group inc.,costar group inc,76
"trinity industries, inc","ppg industries, inc.",76
eastman kodak company,eastman chemical company,76
matador resources company,targa resources corp.,76
nokia corp.,nvidia corp,76
hovnanian enterprises inc.,"axon enterprise, inc.",76
"cdk global, inc.",s&p global inc.,76
korea electric power corporation,american tower corporation,76
freeport-mcmoran oil & gas llc,freeport-mcmoran inc.,76
peabody energy corporation (dip),devon energy corporation,76
cenovus energy inc.,"enphase energy, inc.",76
exelon corp.,exelon corporation,76
vector group ltd,"everest group, ltd.",76
sony corp.,nordson corp,76
"trinity industries, inc.","ppg industries, inc.",76
terex corp.,waters corp,76
equinix inc.,"equinix, inc. reit",76
mosaic company (the),the mosaic company,76
